code,name_en,description_en,full_text_en,zh_description,zh_full_text
18.10.43.10.3,,,,Ensure 'Turn off real-time protection' -> 'Disabled' (待翻譯),18.10.43.10.3 (L1) Ensure 'Turn off real-time protection' -> 'Disabled' (待翻譯)
18.10.43.10.4,,,,Ensure 'Turn on behavior monitoring' -> 'Enabled' (待翻譯),18.10.43.10.4 (L1) Ensure 'Turn on behavior monitoring' -> 'Enabled' (待翻譯)
18.10.43.10.5,,,,Ensure 'Turn on script scanning' -> 'Enabled' (待翻譯),18.10.43.10.5 (L1) Ensure 'Turn on script scanning' -> 'Enabled' (待翻譯)
18.10.43.11.1.1.1,,,,Ensure 'Configure Brute-Force Protection aggressiveness' -> ''Enabled: Medium' or higher' (待翻譯),18.10.43.11.1.1.1 (L2) Ensure 'Configure Brute-Force Protection aggressiveness' -> ''Enabled: Medium' or higher' (待翻譯)
18.10.43.11.1.1.2,,,,Ensure 'Configure Remote Encryption Protection Mode' -> ''Enabled: Audit' or higher' (待翻譯),18.10.43.11.1.1.2 (L1) Ensure 'Configure Remote Encryption Protection Mode' -> ''Enabled: Audit' or higher' (待翻譯)
18.10.43.11.1.2.1,,,,Ensure 'Configure how aggressively Remote Encryption Protection blocks threats' -> ''Enabled: Medium' or higher' (待翻譯),18.10.43.11.1.2.1 (L2) Ensure 'Configure how aggressively Remote Encryption Protection blocks threats' -> ''Enabled: Medium' or higher' (待翻譯)
18.10.43.12.1,,,,Ensure 'Configure Watson events' -> 'Disabled' (待翻譯),18.10.43.12.1 (L2) Ensure 'Configure Watson events' -> 'Disabled' (待翻譯)
18.10.43.13.1,,,,Ensure 'Scan excluded files and directories during quick scans' -> 'Enabled: 1' (待翻譯),18.10.43.13.1 (L1) Ensure 'Scan excluded files and directories during quick scans' -> 'Enabled: 1' (待翻譯)
18.10.43.13.2,,,,Ensure 'Scan packed executables' -> 'Enabled' (待翻譯),18.10.43.13.2 (L1) Ensure 'Scan packed executables' -> 'Enabled' (待翻譯)
18.10.43.13.3,,,,Ensure 'Scan removable drives' -> 'Enabled' (待翻譯),18.10.43.13.3 (L1) Ensure 'Scan removable drives' -> 'Enabled' (待翻譯)
18.10.43.13.4,,,,Ensure 'Trigger a quick scan after X days without any scans' -> 'Enabled: 7' (待翻譯),18.10.43.13.4 (L1) Ensure 'Trigger a quick scan after X days without any scans' -> 'Enabled: 7' (待翻譯)
18.10.43.13.5,,,,Ensure 'Turn on e-mail scanning' -> 'Enabled' (待翻譯),18.10.43.13.5 (L1) Ensure 'Turn on e-mail scanning' -> 'Enabled' (待翻譯)
18.10.43.16,,,,Ensure 'Configure detection for potentially unwanted applications' -> 'Enabled: Block' (待翻譯),18.10.43.16 (L1) Ensure 'Configure detection for potentially unwanted applications' -> 'Enabled: Block' (待翻譯)
18.10.43.17,,,,Ensure 'Control whether exclusions are visible to local users' -> 'Enabled' (待翻譯),18.10.43.17 (L1) Ensure 'Control whether exclusions are visible to local users' -> 'Enabled' (待翻譯)
18.10.51.1,,,,Ensure 'Prevent the usage of OneDrive for file storage' -> 'Enabled' (待翻譯),18.10.51.1 (L1) Ensure 'Prevent the usage of OneDrive for file storage' -> 'Enabled' (待翻譯)
18.10.56.1,,,,Ensure 'Turn off Push To Install service' -> 'Enabled' (待翻譯),18.10.56.1 (L2) Ensure 'Turn off Push To Install service' -> 'Enabled' (待翻譯)
18.10.57.2.2,,,,Ensure 'Do not allow passwords to be saved' -> 'Enabled' (待翻譯),18.10.57.2.2 (L1) Ensure 'Do not allow passwords to be saved' -> 'Enabled' (待翻譯)
18.10.57.3.1,,,,Ensure 'Set time limit for disconnected sessions' -> ' ' (待翻譯),18.10.57.3.1 (L2) Ensure 'Set time limit for disconnected sessions' -> ' ' (待翻譯)
18.10.57.3.2.1,,,,Ensure 'Restrict Remote Desktop Services users to a single Remote Desktop Services session' -> 'Enabled' (待翻譯),18.10.57.3.2.1 (L2) Ensure 'Restrict Remote Desktop Services users to a single Remote Desktop Services session' -> 'Enabled' (待翻譯)
18.10.57.3.3.1,,,,Ensure 'Allow UI Automation redirection' -> 'Disabled' (待翻譯),18.10.57.3.3.1 (L2) Ensure 'Allow UI Automation redirection' -> 'Disabled' (待翻譯)
18.10.57.3.3.2,,,,Ensure 'Do not allow COM port redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.2 (L2) Ensure 'Do not allow COM port redirection' -> 'Enabled' (待翻譯)
18.10.57.3.3.3,,,,Ensure 'Do not allow drive redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.3 (L1) Ensure 'Do not allow drive redirection' -> 'Enabled' (待翻譯)
18.10.57.3.3.4,,,,Ensure 'Do not allow location redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.4 (L2) Ensure 'Do not allow location redirection' -> 'Enabled' (待翻譯)
18.10.57.3.3.5,,,,Ensure 'Do not allow LPT port redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.5 (L2) Ensure 'Do not allow LPT port redirection' -> 'Enabled' (待翻譯)
18.10.57.3.3.6,,,,Ensure 'Do not allow supported Plug and Play device redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.6 (L2) Ensure 'Do not allow supported Plug and Play device redirection' -> 'Enabled' (待翻譯)
18.10.57.3.3.7,,,,Ensure 'Do not allow WebAuthn redirection' -> 'Enabled' (待翻譯),18.10.57.3.3.7 (L2) Ensure 'Do not allow WebAuthn redirection' -> 'Enabled' (待翻譯)
18.10.57.3.9.1,,,,Ensure 'Always prompt for password upon connection' -> 'Enabled' (待翻譯),18.10.57.3.9.1 (L1) Ensure 'Always prompt for password upon connection' -> 'Enabled' (待翻譯)
18.10.57.3.9.2,,,,Ensure 'Require secure RPC communication' -> 'Enabled' (待翻譯),18.10.57.3.9.2 (L1) Ensure 'Require secure RPC communication' -> 'Enabled' (待翻譯)
18.10.57.3.9.3,,,,Ensure 'Require use of specific security layer for remote (RDP) connections' -> 'Enabled: SSL' (待翻譯),18.10.57.3.9.3 (L1) Ensure 'Require use of specific security layer for remote (RDP) connections' -> 'Enabled: SSL' (待翻譯)
18.10.57.3.9.4,,,,Ensure 'Require user authentication for remote connections by using Network Level Authentication' -> 'Enabled' (待翻譯),18.10.57.3.9.4 (L1) Ensure 'Require user authentication for remote connections by using Network Level Authentication' -> 'Enabled' (待翻譯)
18.10.57.3.9.5,,,,Ensure 'Set client connection encryption level' -> 'Enabled: High Level' (待翻譯),18.10.57.3.9.5 (L1) Ensure 'Set client connection encryption level' -> 'Enabled: High Level' (待翻譯)
18.10.57.3.10.1,,,,"Ensure 'Set time limit for active but idle Remote Desktop Services sessions' -> 'Enabled: 15 minutes or less, but not Never (0)' (待翻譯)","18.10.57.3.10.1 (L2) Ensure 'Set time limit for active but idle Remote Desktop Services sessions' -> 'Enabled: 15 minutes or less, but not Never (0)' (待翻譯)"
18.10.57.3.10.2,,,,Ensure 'Set time limit for disconnected sessions' -> 'Enabled: 1 minute' (待翻譯),18.10.57.3.10.2 (L2) Ensure 'Set time limit for disconnected sessions' -> 'Enabled: 1 minute' (待翻譯)
18.10.57.3.11.1,,,,Ensure 'Do not delete temp folders upon exit' -> 'Disabled' (待翻譯),18.10.57.3.11.1 (L1) Ensure 'Do not delete temp folders upon exit' -> 'Disabled' (待翻譯)
18.10.57.3.11.2,,,,Ensure 'Do not use temporary folders per session' -> 'Disabled' (待翻譯),18.10.57.3.11.2 (L1) Ensure 'Do not use temporary folders per session' -> 'Disabled' (待翻譯)
18.10.58.1,,,,Ensure 'Prevent downloading of enclosures' -> 'Enabled' (待翻譯),18.10.58.1 (L1) Ensure 'Prevent downloading of enclosures' -> 'Enabled' (待翻譯)
18.10.58.2,,,,Ensure 'Turn on Basic feed authentication over HTTP' -> 'Disabled' (待翻譯),18.10.58.2 (L1) Ensure 'Turn on Basic feed authentication over HTTP' -> 'Disabled' (待翻譯)
18.10.59.2,,,,Ensure 'Allow Cloud Search' -> 'Enabled: Disable Cloud Search' (待翻譯),18.10.59.2 (L2) Ensure 'Allow Cloud Search' -> 'Enabled: Disable Cloud Search' (待翻譯)
18.10.59.3,,,,Ensure 'Allow indexing of encrypted files' -> 'Disabled' (待翻譯),18.10.59.3 (L1) Ensure 'Allow indexing of encrypted files' -> 'Disabled' (待翻譯)
18.10.59.4,,,,Ensure 'Allow search highlights' -> 'Disabled' (待翻譯),18.10.59.4 (L2) Ensure 'Allow search highlights' -> 'Disabled' (待翻譯)
18.10.63.1,,,,Ensure 'Turn off KMS Client Online AVS Validation' -> 'Enabled' (待翻譯),18.10.63.1 (L2) Ensure 'Turn off KMS Client Online AVS Validation' -> 'Enabled' (待翻譯)
18.10.76.2.1,,,,Ensure 'Configure Windows Defender SmartScreen' -> 'Enabled: Warn and prevent bypass' (待翻譯),18.10.76.2.1 (L1) Ensure 'Configure Windows Defender SmartScreen' -> 'Enabled: Warn and prevent bypass' (待翻譯)
18.10.80.1,,,,Ensure 'Allow suggested apps in Windows Ink Workspace' -> 'Disabled' (待翻譯),18.10.80.1 (L2) Ensure 'Allow suggested apps in Windows Ink Workspace' -> 'Disabled' (待翻譯)
18.10.80.2,,,,"Ensure 'Allow Windows Ink Workspace' -> 'Enabled: On, but disallow access above lock' OR 'Enabled: Disabled' (待翻譯)","18.10.80.2 (L1) Ensure 'Allow Windows Ink Workspace' -> 'Enabled: On, but disallow access above lock' OR 'Enabled: Disabled' (待翻譯)"
18.10.81.1,,,,Ensure 'Allow user control over installs' -> 'Disabled' (待翻譯),18.10.81.1 (L1) Ensure 'Allow user control over installs' -> 'Disabled' (待翻譯)
18.10.81.2,,,,Ensure 'Always install with elevated privileges' -> 'Disabled' (待翻譯),18.10.81.2 (L1) Ensure 'Always install with elevated privileges' -> 'Disabled' (待翻譯)
18.10.81.3,,,,Ensure 'Prevent Internet Explorer security prompt for Windows Installer scripts' -> 'Disabled' (待翻譯),18.10.81.3 (L2) Ensure 'Prevent Internet Explorer security prompt for Windows Installer scripts' -> 'Disabled' (待翻譯)
18.10.82.1,,,,Ensure 'Configure the transmission of the user's password in the content of MPR notifications sent by winlogon.' -> 'Disabled' (待翻譯),18.10.82.1 (L1) Ensure 'Configure the transmission of the user's password in the content of MPR notifications sent by winlogon.' -> 'Disabled' (待翻譯)
18.10.82.2,,,,Ensure 'Sign-in and lock last interactive user automatically after a restart' -> 'Disabled' (待翻譯),18.10.82.2 (L1) Ensure 'Sign-in and lock last interactive user automatically after a restart' -> 'Disabled' (待翻譯)
18.10.87.1,,,,Ensure 'Turn on PowerShell Script Block Logging' -> 'Enabled' (待翻譯),18.10.87.1 (L2) Ensure 'Turn on PowerShell Script Block Logging' -> 'Enabled' (待翻譯)
18.10.87.2,,,,Ensure 'Turn on PowerShell Transcription' -> 'Enabled' (待翻譯),18.10.87.2 (L2) Ensure 'Turn on PowerShell Transcription' -> 'Enabled' (待翻譯)
18.10.89.1.1,,,,Ensure 'Allow Basic authentication' -> 'Disabled' (待翻譯),18.10.89.1.1 (L1) Ensure 'Allow Basic authentication' -> 'Disabled' (待翻譯)
18.10.89.1.2,,,,Ensure 'Allow unencrypted traffic' -> 'Disabled' (待翻譯),18.10.89.1.2 (L1) Ensure 'Allow unencrypted traffic' -> 'Disabled' (待翻譯)
18.10.89.1.3,,,,Ensure 'Disallow Digest authentication' -> 'Enabled' (待翻譯),18.10.89.1.3 (L1) Ensure 'Disallow Digest authentication' -> 'Enabled' (待翻譯)
18.10.89.2.1,,,,Ensure 'Allow Basic authentication' -> 'Disabled' (待翻譯),18.10.89.2.1 (L1) Ensure 'Allow Basic authentication' -> 'Disabled' (待翻譯)
18.10.89.2.2,,,,Ensure 'Allow remote server management through WinRM' -> 'Disabled' (待翻譯),18.10.89.2.2 (L2) Ensure 'Allow remote server management through WinRM' -> 'Disabled' (待翻譯)
18.10.89.2.3,,,,Ensure 'Allow unencrypted traffic' -> 'Disabled' (待翻譯),18.10.89.2.3 (L1) Ensure 'Allow unencrypted traffic' -> 'Disabled' (待翻譯)
18.10.89.2.4,,,,Ensure 'Disallow WinRM from storing RunAs credentials' -> 'Enabled' (待翻譯),18.10.89.2.4 (L1) Ensure 'Disallow WinRM from storing RunAs credentials' -> 'Enabled' (待翻譯)
18.10.90.1,,,,Ensure 'Allow Remote Shell Access' -> 'Disabled' (待翻譯),18.10.90.1 (L2) Ensure 'Allow Remote Shell Access' -> 'Disabled' (待翻譯)
18.10.92.2.1,,,,Ensure 'Prevent users from modifying settings' -> 'Enabled' (待翻譯),18.10.92.2.1 (L1) Ensure 'Prevent users from modifying settings' -> 'Enabled' (待翻譯)
18.10.93.1.1,,,,Ensure 'No auto-restart with logged on users for scheduled automatic updates installations' -> 'Disabled' (待翻譯),18.10.93.1.1 (L1) Ensure 'No auto-restart with logged on users for scheduled automatic updates installations' -> 'Disabled' (待翻譯)
18.10.93.2.1,,,,Ensure 'Configure Automatic Updates' -> 'Enabled' (待翻譯),18.10.93.2.1 (L1) Ensure 'Configure Automatic Updates' -> 'Enabled' (待翻譯)
18.10.93.2.2,,,,Ensure 'Configure Automatic Updates: Scheduled install day' -> '0 - Every day' (待翻譯),18.10.93.2.2 (L1) Ensure 'Configure Automatic Updates: Scheduled install day' -> '0 - Every day' (待翻譯)
18.10.93.4.1,,,,Ensure 'Manage preview builds' -> 'Disabled' (待翻譯),18.10.93.4.1 (L1) Ensure 'Manage preview builds' -> 'Disabled' (待翻譯)
18.10.93.4.2,,,,Ensure 'Select when Preview Builds and Feature Updates are received' -> 'Enabled: 180 or more days' (待翻譯),18.10.93.4.2 (L1) Ensure 'Select when Preview Builds and Feature Updates are received' -> 'Enabled: 180 or more days' (待翻譯)
18.10.93.4.3,,,,Ensure 'Select when Quality Updates are received' -> 'Enabled: 0 days' (待翻譯),18.10.93.4.3 (L1) Ensure 'Select when Quality Updates are received' -> 'Enabled: 0 days' (待翻譯)
19.5.1.1,,,,Ensure 'Turn off toast notifications on the lock screen' -> 'Enabled' (待翻譯),19.5.1.1 (L1) Ensure 'Turn off toast notifications on the lock screen' -> 'Enabled' (待翻譯)
19.6.6.1.1,,,,Ensure 'Turn off Help Experience Improvement Program' -> 'Enabled' (待翻譯),19.6.6.1.1 (L2) Ensure 'Turn off Help Experience Improvement Program' -> 'Enabled' (待翻譯)
19.7.5.1,,,,Ensure 'Do not preserve zone information in file attachments' -> 'Disabled' (待翻譯),19.7.5.1 (L1) Ensure 'Do not preserve zone information in file attachments' -> 'Disabled' (待翻譯)
19.7.5.2,,,,Ensure 'Notify antivirus programs when opening attachments' -> 'Enabled' (待翻譯),19.7.5.2 (L1) Ensure 'Notify antivirus programs when opening attachments' -> 'Enabled' (待翻譯)
19.7.8.1,,,,Ensure 'Configure Windows spotlight on lock screen' -> 'Disabled' (待翻譯),19.7.8.1 (L1) Ensure 'Configure Windows spotlight on lock screen' -> 'Disabled' (待翻譯)
19.7.8.2,,,,Ensure 'Do not suggest third-party content in Windows spotlight' -> 'Enabled' (待翻譯),19.7.8.2 (L1) Ensure 'Do not suggest third-party content in Windows spotlight' -> 'Enabled' (待翻譯)
19.7.8.3,,,,Ensure 'Do not use diagnostic data for tailored experiences' -> 'Enabled' (待翻譯),19.7.8.3 (L2) Ensure 'Do not use diagnostic data for tailored experiences' -> 'Enabled' (待翻譯)
19.7.8.4,,,,Ensure 'Turn off all Windows spotlight features' -> 'Enabled' (待翻譯),19.7.8.4 (L2) Ensure 'Turn off all Windows spotlight features' -> 'Enabled' (待翻譯)
19.7.8.5,,,,Ensure 'Turn off Spotlight collection on Desktop' -> 'Enabled' (待翻譯),19.7.8.5 (L1) Ensure 'Turn off Spotlight collection on Desktop' -> 'Enabled' (待翻譯)
19.7.26.1,,,,Ensure 'Prevent users from sharing files within their profile.' -> 'Enabled' (待翻譯),19.7.26.1 (L1) Ensure 'Prevent users from sharing files within their profile.' -> 'Enabled' (待翻譯)
19.7.44.1,,,,Ensure 'Always install with elevated privileges' -> 'Disabled' (待翻譯),19.7.44.1 (L1) Ensure 'Always install with elevated privileges' -> 'Disabled' (待翻譯)
19.7.46.2.1,,,,Ensure 'Prevent Codec Download' -> 'Enabled' (待翻譯),19.7.46.2.1 (L2) Ensure 'Prevent Codec Download' -> 'Enabled' (待翻譯)
